LAT,LONG,OBJECTID,PROVINCE,DISTRICT,SECTOR,CELL,VILLAGE,NAME,TYPE,SOURCE,CAPTURE
-2.1855,30.095805556,1,EAST,BUGESERA,NYAMATA,KANAZI,MUSAGARA,E.P GITWE,Primary,Ministry of education,2015
-2.140555556,30.080583333,2,EAST,BUGESERA,NYAMATA,NYAMATA VILLE,NYABIVUMU,NYAMATA,Primary,Ministry of education,2015
-2.143805556,30.086638889,3,EAST,BUGESERA,NYAMATA,NYAMATA VILLE,NYAMATA VILLE,ESPOIR DE LA VENIR PRIMARY,Primary,Ministry of education,2015
-2.171333333,30.068916667,4,EAST,BUGESERA,NYAMATA,KANAZI,NYARUGATE II,E.P KANIZI,Primary,Ministry of education,2015
-2.104166667,30.109027777,5,EAST,BUGESERA,NYAMATA,KAYUMBA,KARAMBI,E.P KARAMBI,Primary,Ministry of education,2015
-2.148861111,30.093194445,6,EAST,BUGESERA,NYAMATA,NYAMATA VILLE,NYAMATA I,HIGHLAND,Primary,Ministry of education,2015
-2.1705,30.2135,7,EAST,BUGESERA,RILIMA,NTARAMA,GASEKE,E.P GASEKE,Primary,Ministry of education,2015
-2.147777778,30.175388888,8,EAST,BUGESERA,RILIMA,KARERA,RWANKOMATI,KARERA,Primary,Ministry of education,2015
-2.180083333,30.175833333,9,EAST,BUGESERA,RILIMA,KABEZA,KALILISI,E.P KALILISI,Primary,Ministry of education,2015
-2.269583333,29.982222222,10,EAST,BUGESERA,SHYARA,KABAGUGU,RWAMANYONI,E.P RWAMANYONI,Primary,Ministry of education,2015
-2.242277778,30.000555556,11,EAST,BUGESERA,SHYARA,KAMABUYE,GAKONI,E.P NYABAGUMA ,Primary,Ministry of education,2015
-2.222027778,30.085666667,12,EAST,BUGESERA,MUSENYI,NYAGIHUNIKA,GITAGATA,E.P GITAGATA,Primary,Ministry of education,2015
-2.078083333,30.092361111,13,EAST,BUGESERA,NTARAMA,KANZENZE,KABEZA,E.P NYIRARUKOBWA,Primary,Ministry of education,2015
-2.263388889,30.116361111,14,EAST,BUGESERA,NGERUKA,GIHEMBE,RUSAGARA,E.P KAGASA,Primary,Ministry of education,2015
-2.354583333,30.062611111,15,EAST,BUGESERA,NGERUKA,RUTONDE,RUYONZA,E.P KAGANO,Primary,Ministry of education,2015
-2.361888888,30.083305555,16,EAST,BUGESERA,NGERUKA,RUTONDE,AKAJURI,E.P SHAMI,Primary,Ministry of education,2015
-2.322583333,30.119833334,17,EAST,BUGESERA,NGERUKA,NGERUKA,BINYONZWE,E.P NGERUKA,Primary,Ministry of education,2015
-2.259194444,30.040416667,18,EAST,BUGESERA,MAREBA,GAKOMEYE,GITWA,E.P GAKOMEYE,Primary,Ministry of education,2015
-2.2795,30.079555556,19,EAST,BUGESERA,MAREBA,BUSHENYI,MUYANGE,E.P RUKOYOYO,Primary,Ministry of education,2015
-2.229388889,30.15675,20,EAST,BUGESERA,MAYANGE,MBYO,RUGARAMA,E.P MBYO,Primary,Ministry of education,2015
-2.268527778,30.214027778,21,EAST,BUGESERA,GASHORA,RAMIRO,KAGASA 1,E.P.KAGASA,Primary,Ministry of education,2015
-2.20725,30.246805555,22,EAST,BUGESERA,GASHORA,BIRYOGO,KIVUGIZA,E.P.GASHORA,Primary,Ministry of education,2015
-2.278055556,30.295861111,23,EAST,BUGESERA,RWERU,NKANGA,RUZO,E.P RUZO,Primary,Ministry of education,2015
-2.340083333,30.214555556,24,EAST,BUGESERA,RWERU,NEMBA,NEMBA,E.P NEMBA,Primary,Ministry of education,2015
-2.3115,30.22725,25,EAST,BUGESERA,RWERU,NEMBA,KIMVUBU,E.P RWIMINARI,Primary,Ministry of education,2015
-2.322472222,30.086833333,26,EAST,BUGESERA,RUHUHA,KINDAMA,KINDAMA,E.P KINDAMA ADVENTISTE,Primary,Ministry of education,2015
-2.317944445,30.077722222,27,EAST,BUGESERA,RUHUHA,KINDAMA,KAGASERA,E.P MINAZI,Primary,Ministry of education,2015
-2.333333334,30.052111111,28,EAST,BUGESERA,RUHUHA,GATANGA,KIBAZA,E.P CATHOLIQUE BUTERERI,Primary,Ministry of education,2015
-2.326777778,30.036666667,29,EAST,BUGESERA,RUHUHA,BIHARI,BIHARI,E.P RUGARAMA,Primary,Ministry of education,2015
-2.2995,29.987583333,30,EAST,BUGESERA,NYARUGENGE,GIHINGA,NYAGASOZI,E.P KIGARAMA,Primary,Ministry of education,2015
-2.294833333,30.0225,31,EAST,BUGESERA,NYARUGENGE,RUGANDO,NSORO,E.P RUGANDO,Primary,Ministry of education,2015
-2.327861111,30.003333334,32,EAST,BUGESERA,NYARUGENGE,MURAMBI,CYERU,E.P MURAMBI,Primary,Ministry of education,2015
-2.411222222,30.103722223,33,EAST,BUGESERA,KAMABUYE,BURENGE,KARENGE,E.P.MURAMBO,Primary,Ministry of education,2015
-2.374055555,30.112694445,34,EAST,BUGESERA,KAMABUYE,TUNDA,TUNDA,E.P.TUNDA,Primary,Ministry of education,2015
-2.3365,30.139888889,35,EAST,BUGESERA,KAMABUYE,NYAKAYAGA,AKAJE,E.P. MURAGO,Primary,Ministry of education,2015
-2.148666667,30.093444445,36,EAST,BUGESERA,NYAMATA,NYAMATA VILLE,NYAMATA I,ST. THERESE,Primary,Ministry of education,2015
-2.155638888,30.008611111,37,EAST,BUGESERA,MUSENYI,RULINDO,RULINDO,E.P RULINDO,Primary,Ministry of education,2015
-2.219222222,30.048944445,38,EAST,BUGESERA,MUSENYI,NYAGIHUNIKA,KIGUSA,E.P KIGUSA,Primary,Ministry of education,2015
-2.213722222,30.015138889,39,EAST,BUGESERA,MUSENYI,GICACA,CYARUBAZI,E.P GICACA,Primary,Ministry of education,2015
